country,is--country,name
afg,TRUE,Afghanistan
alb,TRUE,Albania
dza,TRUE,Algeria
asm,TRUE,American Samoa
and,TRUE,Andorra
ago,TRUE,Angola
aia,TRUE,Anguilla
ata,TRUE,Antarctica
atg,TRUE,Antigua and Barbuda
arg,TRUE,Argentina
arm,TRUE,Armenia
abw,TRUE,Aruba
aus,TRUE,Australia
aus_oc,TRUE,Australian Oceania
aut,TRUE,Austria
aze,TRUE,Azerbaijan
bhs,TRUE,Bahamas
bhr,TRUE,Bahrain
bgd,TRUE,Bangladesh
brb,TRUE,Barbados
blr,TRUE,Belarus
bel,TRUE,Belgium
bel_lux,TRUE,Belgium and Luxembourg
blz,TRUE,Belize
ben,TRUE,Benin
bmu,TRUE,Bermuda
btn,TRUE,Bhutan
bol,TRUE,Bolivia
bes,TRUE,Bonaire Sint Eustatius and Saba
bih,TRUE,Bosnia and Herzegovina
bwa,TRUE,Botswana
bouisl,TRUE,Bouvet Island
bra,TRUE,Brazil
briics,TRUE,BRIICS economies - Brazil: Russia: India: Indonesia: China and South Africa
iot,TRUE,British Indian Ocean Territory
vgb,TRUE,British Virgin Islands
brn,TRUE,Brunei
bgr,TRUE,Bulgaria
bunk_main,TRUE,Bunkering and maintenance
bunk_third,TRUE,Bunkering and maintenance in trade with third country
bunk_eu,TRUE,Bunkering and maintenance in trade within the EU
bfa,TRUE,Burkina Faso
bdi,TRUE,Burundi
cpv,TRUE,Cabo Verde
khm,TRUE,Cambodia
cmr,TRUE,Cameroon
can,TRUE,Canada
cay,TRUE,Canary Islands
cym,TRUE,Cayman Islands
caf,TRUE,Central African Republic
ceu,TRUE,Ceuta
tcd,TRUE,Chad
chl,TRUE,Chile
chn,TRUE,China (People's Republic of)
cxr,TRUE,Christmas Island
coc,TRUE,Cocos Islands
col,TRUE,Colombia
com,TRUE,Comoros
cog,TRUE,Congo
ckk,TRUE,Cook Islands
cri,TRUE,Costa Rica
civ,TRUE,Côte d'Ivoire
def_unspec,TRUE,Countries and territories not specified for trade or defence reasons
third_unspec,TRUE,Countries and territories not specified for trade or defence reasons in trade with third country
eu_unspec,TRUE,Countries and territories not specified for trade or defence reasons in trade within the EU
hrv,TRUE,Croatia
cub,TRUE,Cuba
nld_curacao,TRUE,Curaçao
cyp,TRUE,Cyprus
cze,TRUE,Czechia
cod,TRUE,Democratic Republic of the Congo
dnk,TRUE,Denmark
dji,TRUE,Djibouti
dma,TRUE,Dominica
dom,TRUE,Dominican Republic
tls,TRUE,East Timor
ecu,TRUE,Ecuador
egy,TRUE,Egypt
